event_title,category,department,target_year,capacity,location,date,time,event_tags,success_rate,actual_success_rate,actual_attendees,actual_engagement,actual_sentiment
Weightlifting Competition,Sports,Civil,all,80,Open Ground,2024-11-03,10:00,"weightlifting, strength",82.0,,,,
Conflict Resolution,Professional,Management,3,70,Seminar Room,2024-08-22,14:00,"conflict, resolution",76.0,,,,
Big Data Workshop,Technology,Computer,4,130,Virtual,2024-09-28,09:00,"big data, hadoop",89.0,,,,
Cultural Exchange Program,Cultural,Management,all,250,Auditorium,2024-11-12,18:00,"culture, exchange",90.0,,,,
Thermodynamics Basics,Academic,Mechanical,2,75,Seminar Room,2024-07-20,10:00,"thermodynamics, engineering",73.0,,,,
Tennis Tournament,Sports,Electrical,all,100,Open Ground,2024-10-06,13:00,"tennis, sports",88.0,,,,
Effective Communication,Professional,Management,all,100,Seminar Room,2024-09-16,11:00,"communication, skills",82.0,,,,
DevOps Workshop,Technology,Computer,3,110,Seminar Room,2024-11-06,10:00,"devops, automation",87.0,,,,
Classical Dance Night,Cultural,Management,all,280,Auditorium,2024-08-17,18:30,"classical dance, art",91.0,,,,
Microbiology Basics,Academic,Science,1,55,Seminar Room,2024-10-04,14:00,"microbiology, biology",69.0,,,,
Marathon,Sports,Civil,all,300,Open Ground,2024-12-07,07:00,"marathon, running",95.0,,,,
Financial Planning,Professional,Management,4,90,Seminar Room,2024-09-03,10:00,"finance, planning",80.0,,,,
Ethical AI Seminar,Technology,Computer,4,140,Virtual,2024-10-11,15:00,"ai, ethics",88.0,,,,
Street Play Festival,Cultural,Management,all,200,Open Ground,2024-11-04,16:00,"street play, theatre",79.0,,,,
Numerical Methods,Academic,Mechanical,3,80,Seminar Room,2024-09-21,10:00,"numerical, maths",74.0,,,,
Badminton Doubles,Sports,Electrical,all,90,Open Ground,2024-08-28,14:00,"badminton, doubles",86.0,,,,
Goal Setting Workshop,Professional,Science,2,65,Seminar Room,2024-07-12,10:00,"goals, personal development",75.0,,,,
Computer Vision Workshop,Technology,Computer,4,100,Virtual,2024-12-05,09:00,"computer vision, image processing",86.0,,,,
Fashion Designing Contest,Cultural,Management,2,180,Main Hall,2024-09-14,15:00,"fashion, design",80.0,,,,
Environmental Science Talk,Academic,Science,3,110,Seminar Room,2024-11-11,11:00,"environment, sustainability",77.0,,,,
Kho Kho Tournament,Sports,Civil,all,120,Open Ground,2024-10-19,13:00,"kho kho, sports",85.0,,,,
Mock Interview Drive,Professional,Computer,all,150,Virtual,2024-08-07,09:00,"interview, mock",89.0,,,,
AR/VR Development,Technology,Computer,3,90,Seminar Room,2024-10-09,10:00,"ar, vr",85.0,,,,
Singing Competition,Cultural,Management,all,250,Auditorium,2024-09-05,17:00,"singing, music",92.0,,,,
Analog Electronics,Academic,Electrical,2,70,Seminar Room,2024-07-27,10:00,"electronics, circuits",72.0,,,,
Skating Competition,Sports,Mechanical,all,70,Open Ground,2024-11-19,14:00,"skating, sports",81.0,,,,
Team Building Activities,Professional,Management,all,120,Open Ground,2024-08-29,10:00,"team building, collaboration",84.0,,,,
Data Structures Workshop,Technology,Computer,2,100,Seminar Room,2024-09-24,09:00,"data structures, algorithms",88.0,,,,
Annual Fest,Cultural,Management,all,400,Open Ground,2024-12-25,17:00,"fest, celebration",99.0,,,,
Applied Mathematics,Academic,Science,3,85,Seminar Room,2024-10-16,14:00,"maths, applied",75.0,,,,
Yoga Workshop,Sports,Science,all,60,Main Hall,2024-07-17,08:00,"yoga, wellness",73.0,,,,
Resume Review Session,Professional,Management,3,50,Virtual,2024-11-29,11:00,"resume, career",81.0,,,,
Quantum Machine Learning,Technology,Computer,4,100,Virtual,2024-12-18,10:00,"quantum, ml",82.0,,,,
Stand-up Comedy Night,Cultural,Management,all,180,Auditorium,2024-10-02,19:00,"comedy, entertainment",86.0,,,,
Physics Quiz,Academic,Science,1,70,Seminar Room,2024-09-04,11:00,"physics, quiz",70.0,,,,
Cycling Rally,Sports,Civil,all,150,Open Ground,2024-08-09,07:00,"cycling, rally",85.0,,,,
Networking Mixer,Professional,Computer,all,200,Main Hall,2024-11-07,17:00,"networking, career",90.0,,,,
Cybersecurity Awareness,Technology,Computer,all,120,Virtual,2024-09-11,10:00,"cybersecurity, awareness",83.0,,,,
Open Mic Night,Cultural,Management,all,100,Auditorium,2024-07-23,18:00,"open mic, performance",80.0,,,,
Project Management,Academic,Management,4,90,Seminar Room,2024-10-21,09:30,"project management, planning",79.0,,,,
Tug of War,Sports,Mechanical,all,100,Open Ground,2024-11-14,15:00,"tug of war, sports",84.0,,,,
Public Relations Workshop,Professional,Management,3,75,Seminar Room,2024-08-11,10:00,"pr, communication",77.0,,,,
AI in Healthcare Seminar,Technology,Computer,4,130,Virtual,2024-12-11,14:00,"ai, healthcare",89.0,,,,
Cultural Parade,Cultural,Management,all,300,Open Ground,2024-09-23,16:00,"parade, culture",91.0,,,,
Circuit Design Workshop,Academic,Electrical,3,80,Seminar Room,2024-08-02,09:00,"circuits, design",75.0,,,,
Chess Exhibition,Sports,Science,all,60,Main Hall,2024-10-24,13:00,"chess, exhibition",80.0,,,,
Goal Setting for Success,Professional,Management,all,90,Seminar Room,2024-09-06,10:00,"goals, success",82.0,,,,
Web Security Webinar,Technology,Computer,3,110,Virtual,2024-11-13,11:00,"web security, cyber",85.0,,,,
Bollywood Dance Workshop,Cultural,Management,all,150,Main Hall,2024-08-27,16:00,"bollywood, dance",88.0,,,,
Data Visualization,Academic,Computer,4,95,Seminar Room,2024-10-05,14:00,"data viz, analytics",86.0,,,,
Cross Country Race,Sports,Civil,all,200,Open Ground,2024-12-09,08:00,"cross country, running",90.0,,,,
Job Interview Simulation,Professional,Management,all,80,Virtual,2024-09-13,10:00,"interview, simulation",84.0,,,,
IoT Security,Technology,Electrical,4,90,Seminar Room,2024-10-26,09:30,"iot, security",83.0,,,,
Cultural Fashion Show,Cultural,Management,all,280,Auditorium,2024-11-21,19:00,"fashion, culture",90.0,,,,
Thermodynamics Advanced,Academic,Mechanical,4,70,Seminar Room,2024-09-29,11:00,"thermodynamics, engineering",76.0,,,,
Cricket Friendly Match,Sports,Electrical,all,120,Open Ground,2024-07-29,15:00,"cricket, friendly",75.0,,,,
Stress Reduction Techniques,Professional,Science,all,100,Seminar Room,2024-10-01,15:00,"stress, wellness",79.0,,,,
AR in Education,Technology,Computer,3,80,Virtual,2024-11-09,10:00,"ar, education",81.0,,,,
Storytelling Session,Cultural,Science,all,70,Seminar Room,2024-12-16,16:00,"storytelling, literature",70.0,,,,
Advanced Python,Academic,Computer,3,100,Seminar Room,2024-09-20,09:00,"python, programming",87.0,,,,
Volleyball Friendly,Sports,Electrical,all,80,Open Ground,2024-08-04,14:00,"volleyball, friendly",80.0,,,,
Effective Presentation Skills,Professional,Management,all,90,Seminar Room,2024-09-27,11:00,"presentation, public speaking",83.0,,,,
Blockchain for Beginners,Technology,Computer,2,100,Virtual,2024-10-14,14:00,"blockchain, crypto",82.0,,,,
Diwali Mela,Cultural,Management,all,350,Open Ground,2024-10-30,15:00,"diwali, festival",96.0,,,,
Linear Algebra Applications,Academic,Science,3,75,Seminar Room,2024-09-18,10:00,"algebra, applications",74.0,,,,
Football Friendly Match,Sports,Civil,all,150,Open Ground,2024-11-07,14:00,"football, friendly",87.0,,,,
Career Counseling,Professional,Management,all,100,Virtual,2024-08-06,10:00,"career, counseling",85.0,,,,
Data Science for Business,Technology,Computer,4,140,Main Hall,2024-09-26,10:00,"data science, business",90.0,,,,
Inter-College Fest,Cultural,Management,all,400,Auditorium,2024-12-20,18:00,"fest, inter college",99.0,,,,
Applied Physics,Academic,Science,2,60,Seminar Room,2024-08-21,11:00,"physics, applied",72.0,,,,
Badminton Doubles Tournament,Sports,Electrical,all,100,Open Ground,2024-09-01,13:00,"badminton, doubles",89.0,,,,
Negotiation Skills,Professional,Management,3,80,Seminar Room,2024-10-23,09:00,"negotiation, communication",78.0,,,,
AI Ethics Debate,Technology,Computer,4,100,Virtual,2024-12-03,10:00,"ai, ethics",85.0,,,,
Cultural Street Food Festival,Cultural,Management,all,300,Open Ground,2024-11-01,17:00,"food, festival",93.0,,,,
Calculus Refresher,Academic,Science,1,70,Seminar Room,2024-09-10,14:00,"calculus, math's",71.0,,,,
Table Tennis Friendly,Sports,Mechanical,all,60,Main Hall,2024-10-13,15:00,"table tennis, friendly",80.0,,,,
Emotional Intelligence,Professional,Management,all,110,Seminar Room,2024-07-19,10:00,"emotional intelligence, soft skills",81.0,,,,
Quantum Cryptography,Technology,Computer,4,90,Virtual,2024-11-27,11:00,"quantum, cryptography",84.0,,,,
Music Jam Session,Cultural,Management,all,150,Open Ground,2024-09-03,18:00,"music, jam",85.0,,,,
Organic Chemistry Workshop,Academic,Science,2,55,Seminar Room,2024-08-14,14:00,"chemistry, organic",68.0,,,,
Basketball Friendly Match,Sports,Civil,all,120,Open Ground,2024-11-28,15:00,"basketball, friendly",88.0,,,,
CV Writing Workshop,Professional,Management,all,70,Virtual,2024-08-20,10:00,"cv writing, resume",79.0,,,,
Blockchain in Supply Chain,Technology,Computer,4,100,Virtual,2024-10-29,10:00,"blockchain, supply chain",86.0,,,,
Traditional Music Night,Cultural,Management,all,200,Auditorium,2024-11-16,18:00,"traditional music, folk",89.0,,,,
Differential Equations,Academic,Science,3,80,Seminar Room,2024-09-25,10:00,"differential equations, maths",76.0,,,,
Athletics Training Camp,Sports,Civil,all,100,Open Ground,2024-07-08,09:00,"athletics, training",78.0,,,,
Mentorship Program Launch,Professional,Management,all,150,Main Hall,2024-09-01,11:00,"mentorship, career",87.0,,,,
Machine Learning for Beginners,Technology,Computer,2,120,Seminar Room,2024-08-16,09:00,"ml, beginner",87.0,,,,
Art Exhibition,Cultural,Management,all,200,Auditorium,2024-10-27,16:00,"art, exhibition",80.0,,,,
Aerodynamics Basics,Academic,Mechanical,3,70,Seminar Room,2024-11-05,10:00,"aerodynamics, engineering",74.0,,,,
Football Practice Session,Sports,Civil,all,100,Open Ground,2024-07-14,16:00,"football, practice",70.0,,,,
Interview Etiquette,Professional,Management,all,60,Virtual,2024-12-04,14:00,"interview, etiquette",80.0,,,,
VR in Gaming,Technology,Computer,3,90,Virtual,2024-12-14,10:00,"vr, gaming",83.0,,,,
Cultural Storytelling,Cultural,Science,all,80,Seminar Room,2024-09-15,15:00,"storytelling, culture",75.0,,,,
Probability and Statistics,Academic,Science,2,75,Seminar Room,2024-10-17,10:00,"probability, statistics",73.0,,,,
Cricket Coaching,Sports,Electrical,all,80,Open Ground,2024-08-24,15:00,"cricket, coaching",70.0,,,,
Leadership Styles,Professional,Management,all,100,Seminar Room,2024-11-24,11:00,"leadership, styles",82.0,,,,
Image Processing Workshop,Technology,Computer,4,110,Virtual,2024-10-20,09:00,"image processing, computer vision",87.0,,,,
Literary Debate,Cultural,Science,all,90,Auditorium,2024-11-23,10:00,"literature, debate",77.0,,,,
Advanced Data Structures,Academic,Computer,3,90,Seminar Room,2024-09-02,09:00,"data structures, algorithms",89.0,,,,
Badminton Coaching,Sports,Electrical,all,70,Open Ground,2024-07-07,16:00,"badminton, coaching",68.0,,,,
Professional Communication,Professional,Management,all,120,Seminar Room,2024-08-26,10:00,"communication, professional",84.0,,,,
Robotics for Beginners,Technology,Mechanical,2,80,Seminar Room,2024-09-29,10:00,"robotics, beginner",82.0,,,,
Traditional Art Workshop,Cultural,Management,all,100,Main Hall,2024-10-10,14:00,"art, traditional",78.0,,,,
Biochemistry Basics,Academic,Science,1,60,Seminar Room,2024-11-17,14:00,"biochemistry, biology",70.0,,,,
Athletics Training,Sports,Civil,all,100,Open Ground,2024-08-01,09:00,"athletics, training",75.0,,,,
Job Search Strategies,Professional,Management,all,90,Virtual,2024-09-09,11:00,"job search, career",86.0,,,,
Cloud Security Seminar,Technology,Computer,4,120,Virtual,2024-12-06,14:00,"cloud, security",88.0,,,,
Annual Sports Day,Sports,all,all,350,Open Ground,2024-12-19,09:00,"sports, annual",95.0,,,,
Inter-Department Cultural,Cultural,Management,all,300,Auditorium,2024-11-26,18:00,"culture, inter department",92.0,,,,
Advanced Calculus,Academic,Science,2,70,Seminar Room,2024-09-12,11:00,"calculus, advanced",75.0,,,,
Basketball Coaching,Sports,Civil,all,90,Open Ground,2024-07-26,15:00,"basketball, coaching",72.0,,,,
Interview Skills for Tech,Professional,Computer,all,85,Virtual,2024-10-03,10:00,"interview, tech",87.0,,,,
AR/VR in Healthcare,Technology,Computer,4,100,Virtual,2024-11-20,10:00,"ar, vr",86.0,,,,
Poetry Writing Workshop,Cultural,Science,all,60,Seminar Room,2024-12-10,15:00,"poetry, writing",73.0,,,,
Advanced Networking,Academic,Computer,3,90,Seminar Room,2024-10-28,09:00,"networking, advanced",85.0,,,,
Tennis Coaching,Sports,Electrical,all,70,Open Ground,2024-08-19,16:00,"tennis, coaching",70.0,,,,
Career Development Plan,Professional,Management,all,100,Seminar Room,2024-09-04,11:00,"career, development",83.0,,,,
Deep Learning Bootcamp,Technology,Computer,4,150,Main Hall,2024-09-17,09:00,"deep learning, ai",92.0,,,,
Annual College Fair,Professional,all,all,300,Main Hall,2024-11-04,10:00,"career, college fair",94.0,,,,
Physics Practical,Academic,Science,1,50,Seminar Room,2024-10-15,14:00,"physics, practical",68.0,,,,
Weightlifting Training,Sports,Civil,all,70,Open Ground,2024-11-06,10:00,"weightlifting, training",78.0,,,,
Business Etiquette,Professional,Management,all,80,Seminar Room,2024-08-13,10:00,"etiquette, business",79.0,,,,
Quantum Mechanics Seminar,Academic,Science,4,80,Seminar Room,2024-12-12,11:00,"quantum, mechanics",77.0,,,,
Table Tennis Coaching,Sports,Mechanical,all,50,Main Hall,2024-09-07,15:00,"table tennis, coaching",75.0,,,,
Digital Marketing Workshop,Professional,Management,3,100,Virtual,2024-10-26,09:00,"digital marketing, marketing",85.0,,,,
Ethical AI Development,Technology,Computer,4,110,Virtual,2024-11-25,10:00,"ai, ethics",88.0,,,,
Traditional Games Day,Sports,all,all,200,Open Ground,2024-10-08,13:00,"traditional games, sports",85.0,,,,
Advanced Physics,Academic,Science,2,65,Seminar Room,2024-09-06,11:00,"physics, advanced",73.0,,,,
Public Speaking Workshop,Professional,Management,all,90,Seminar Room,2024-07-16,10:00,"public speaking, communication",80.0,,,,
IoT Applications,Technology,Electrical,3,100,Seminar Room,2024-10-09,10:00,"iot, applications",86.0,,,,
Cultural Dance Workshop,Cultural,Management,all,120,Main Hall,2024-08-23,17:00,"dance, cultural",87.0,,,,
Chemistry Practical,Academic,Science,1,50,Seminar Room,2024-09-19,14:00,"chemistry, practical",69.0,,,,
Marathon Training,Sports,Civil,all,150,Open Ground,2024-11-15,07:00,"marathon, training",88.0,,,,
Time Management Strategies,Professional,Management,all,70,Seminar Room,2024-12-01,10:00,"time management, productivity",78.0,,,,
Game Development with Unity,Technology,Computer,3,100,Seminar Room,2024-10-24,09:00,"game dev, unity",89.0,,,,
Comedy Open Mic,Cultural,Management,all,100,Auditorium,2024-09-08,19:00,"comedy, open mic",82.0,,,,
Robotics Design Competition,Technology,Mechanical,4,130,Main Hall,2024-11-02,13:00,"robotics, competition",90.0,,,,
Data Structures & Algorithms,Academic,Computer,2,110,Seminar Room,2024-08-05,09:00,"data structures, algorithms",88.0,,,,
Volleyball Training,Sports,Electrical,all,80,Open Ground,2024-07-21,15:00,"volleyball, training",75.0,,,,
Mock Interview Workshop,Professional,Management,all,75,Virtual,2024-10-18,10:00,"interview, mock",85.0,,,,
Cyber Warfare Seminar,Technology,Computer,4,120,Virtual,2024-12-09,11:00,"cyber, warfare",87.0,,,,
Cultural Quiz,Cultural,Science,all,90,Seminar Room,2024-11-11,14:00,"culture, quiz",76.0,,,,
Research Proposal Writing,Academic,Science,3,80,Seminar Room,2024-09-30,10:00,"research, proposal",77.0,,,,
Basketball Skills Camp,Sports,Civil,all,100,Open Ground,2024-08-08,16:00,"basketball, skills",80.0,,,,
Leadership Development,Professional,Management,all,100,Seminar Room,2024-10-07,09:00,"leadership, development",84.0,,,,
AR/VR Hackathon,Technology,Computer,all,150,Main Hall,2024-11-19,09:00,"ar, vr",90.0,,,,
Inter-Department Sports,Sports,all,all,300,Open Ground,2024-11-20,09:00,"sports, inter department",93.0,,,,
Advanced Robotics,Academic,Mechanical,4,90,Seminar Room,2024-10-12,10:00,"robotics, advanced",81.0,,,,
Financial Literacy,Professional,Management,all,110,Seminar Room,2024-09-05,10:00,"finance, literacy",82.0,,,,
Web Development with React,Technology,Computer,3,100,Seminar Room,2024-08-09,09:00,"react, web dev",87.0,,,,
Traditional Music Workshop,Cultural,Management,all,80,Main Hall,2024-09-26,17:00,"music, traditional",79.0,,,,
Environmental Engineering,Academic,Civil,3,90,Seminar Room,2024-11-08,11:00,"environmental, engineering",76.0,,,,
Badminton Tournament Finals,Sports,Electrical,all,150,Open Ground,2024-10-22,14:00,"badminton, finals",91.0,,,,
Career Progression,Professional,Management,all,90,Virtual,2024-12-13,10:00,"career, progression",85.0,,,,
AI in Robotics,Technology,Mechanical,4,120,Virtual,2024-11-29,10:00,"ai, robotics",89.0,,,,
Cultural Exchange Meet,Cultural,Management,all,250,Auditorium,2024-10-23,18:00,"culture, exchange",90.0,,,,
Thermodynamics Applications,Academic,Mechanical,3,85,Seminar Room,2024-09-11,10:00,"thermodynamics, applications",75.0,,,,
Cricket Tournament Finals,Sports,Electrical,all,200,Open Ground,2024-12-16,09:00,"cricket, finals",95.0,,,,
Personal Finance Basics,Professional,Management,all,90,Seminar Room,2024-07-24,10:00,"finance, personal",78.0,,,,
Data Science with Python,Technology,Computer,3,130,Seminar Room,2024-09-07,09:00,"data science, python",89.0,,,,
Freshers' Orientation,Professional,Management,1,300,Auditorium,2024-07-10,10:00,"freshers, orientation",92.0,,,,
Advanced Control Systems,Academic,Electrical,4,70,Seminar Room,2024-10-07,11:00,"control systems, electrical",76.0,,,,
Football Tournament Finals,Sports,Civil,all,200,Open Ground,2024-12-02,14:00,"football, finals",90.0,,,,
Time Management for Students,Professional,Management,1,80,Seminar Room,2024-08-10,10:00,"time management, students",77.0,,,,
Blockchain Development,Technology,Computer,4,110,Virtual,2024-11-01,09:00,"blockchain, development",88.0,,,,
Annual Cultural Fest,Cultural,Management,all,380,Open Ground,2024-12-22,17:00,"cultural fest, annual",98.0,,,,
Quantum Physics,Academic,Science,3,75,Seminar Room,2024-10-10,14:00,"quantum, physics",75.0,,,,
Athletics Championship,Sports,Civil,all,250,Open Ground,2024-12-04,09:00,"athletics, championship",93.0,,,,
Job Interview Prep,Professional,Management,all,100,Virtual,2024-09-14,10:00,"interview, prep",87.0,,,,
AI in Finance,Technology,Computer,4,100,Virtual,2024-12-08,11:00,"ai, finance",86.0,,,,
Literary Club Meet,Cultural,Science,all,60,Seminar Room,2024-11-02,15:00,"literature, club",70.0,,,,
Aerospace Engineering Talk,Academic,Mechanical,4,100,Main Hall,2024-10-01,10:00,"aerospace, engineering",79.0,,,,
Basketball Tournament Finals,Sports,Civil,all,180,Open Ground,2024-12-06,15:00,"basketball, finals",91.0,,,,
Public Speaking Skills,Professional,Management,all,100,Seminar Room,2024-08-25,10:00,"public speaking, skills",81.0,,,,
Bollywood Dance Class,Cultural,Management,all,120,Main Hall,2024-09-09,17:00,"bollywood, dance",86.0,,,,
Advanced Mathematics,Academic,Science,3,80,Seminar Room,2024-11-14,10:00,"maths, advanced",78.0,,,,
Tennis Tournament Finals,Sports,Electrical,all,120,Open Ground,2024-11-22,13:00,"tennis, finals",89.0,,,,
Effective Resume Writing,Professional,Management,all,70,Virtual,2024-07-18,10:00,"resume, writing",77.0,,,,
IoT in Smart Cities,Technology,Electrical,4,90,Virtual,2024-12-07,10:00,"iot, smart cities",85.0,,,,
