event_title,category,department,target_year,capacity,location,month,day_of_week,hour,event_tags,title_length,title_word_count,num_tags,is_weekend,time_of_day,is_workshop,dept_popularity,feature_version,success_rate
Chemistry Lab Session,Academic,Science,1,50,Seminar Room,9,3,14,"chemistry, lab",21,3,2,0,afternoon,0,0.15675675675675677,v1.1,70
Athletics Meet,Sports,Civil,1,250,Open Ground,12,6,9,"athletics, running",14,2,2,1,morning,0,0.1045045045045045,v1.1,92
Interview Prep Session,Professional,Computer,4,80,Virtual,8,0,11,"interview, career",22,3,2,0,morning,0,0.1918918918918919,v1.1,85
Machine Learning Summit,Technology,Computer,4,200,Main Hall,9,4,10,"ml, deep learning",23,3,2,0,morning,0,0.1918918918918919,v1.1,90
Bollywood Night,Cultural,Management,1,350,Auditorium,10,5,19,"bollywood, dance",15,2,2,1,evening,0,0.34684684684684686,v1.1,96
Gate Preparation Seminar,Academic,Electrical,3,120,Seminar Room,7,0,15,"gate, exam prep",24,3,2,0,afternoon,0,0.0945945945945946,v1.1,77
E-Sports Tournament,Sports,Computer,1,150,Virtual,11,4,16,"gaming, esports",19,2,2,0,afternoon,0,0.1918918918918919,v1.1,88
Leadership Workshop,Professional,Management,3,100,Seminar Room,9,6,9,"leadership, management",19,2,2,1,morning,1,0.34684684684684686,v1.1,83
Android App Development,Technology,Computer,2,90,Seminar Room,8,4,10,"android, mobile dev",23,3,2,0,morning,0,0.1918918918918919,v1.1,85
Diwali Celebration,Cultural,Management,1,380,Open Ground,10,3,17,"diwali, festival",18,2,2,0,evening,0,0.34684684684684686,v1.1,98
Quantum Computing Talk,Academic,Science,4,70,Seminar Room,12,4,11,"quantum, physics",22,3,2,0,morning,0,0.15675675675675677,v1.1,75
Yoga Session,Sports,Science,1,80,Open Ground,7,2,7,"yoga, fitness",12,2,2,0,morning,0,0.15675675675675677,v1.1,70
Startup Pitch Contest,Professional,Management,3,150,Auditorium,11,0,14,"startup, entrepreneurship",21,3,2,0,afternoon,0,0.34684684684684686,v1.1,89
Ethical Hacking Workshop,Technology,Computer,3,100,Seminar Room,10,4,9,"hacking, cyber",24,3,2,0,morning,1,0.1918918918918919,v1.1,86
Talent Show,Cultural,Management,1,300,Auditorium,9,5,18,"talent, performance",11,2,2,1,evening,0,0.34684684684684686,v1.1,93
Foreign Language Class,Academic,Science,1,60,Seminar Room,8,3,16,"language, culture",22,3,2,0,afternoon,0,0.15675675675675677,v1.1,72
Carrom Tournament,Sports,Mechanical,1,50,Main Hall,10,3,13,"carrom, board games",17,2,2,0,afternoon,0,0.08468468468468468,v1.1,79
Group Discussion Practice,Professional,Management,2,70,Seminar Room,7,4,10,"gd, communication",25,3,2,0,morning,0,0.34684684684684686,v1.1,75
Data Analytics Seminar,Technology,Computer,4,120,Virtual,11,4,14,"data, analytics",22,3,2,0,afternoon,0,0.1918918918918919,v1.1,87
Traditional Folk Dance,Cultural,Management,1,200,Open Ground,9,1,17,"folk dance, tradition",22,3,2,0,evening,0,0.34684684684684686,v1.1,80
Research Methodology,Academic,Science,3,90,Seminar Room,10,0,10,"research, methodology",20,2,2,0,morning,0,0.15675675675675677,v1.1,76
Swimming Competition,Sports,Civil,1,100,Open Ground,8,0,10,"swimming, sports",20,2,2,0,morning,0,0.1045045045045045,v1.1,85
Personal Branding,Professional,Management,4,80,Seminar Room,12,6,11,"branding, career",17,2,2,1,morning,0,0.34684684684684686,v1.1,81
Game Development Workshop,Technology,Computer,3,110,Seminar Room,9,3,10,"game dev, unity",25,3,2,0,morning,1,0.1918918918918919,v1.1,89
Fashion Walk,Cultural,Management,1,250,Main Hall,8,5,19,"fashion, ramp",12,2,2,1,evening,0,0.34684684684684686,v1.1,78
Academic Writing Skills,Academic,Science,2,75,Seminar Room,11,5,11,"writing, academic",23,3,2,1,morning,0,0.15675675675675677,v1.1,74
Cricket Practice Session,Sports,Electrical,2,100,Open Ground,7,6,16,"cricket, practice",24,3,2,1,afternoon,0,0.0945945945945946,v1.1,70
Stress Management,Professional,Science,1,120,Seminar Room,9,5,15,"stress, mental health",17,2,2,1,afternoon,0,0.15675675675675677,v1.1,77
Augmented Reality Workshop,Technology,Computer,4,90,Virtual,10,4,10,"ar, vr",26,3,2,0,morning,1,0.1918918918918919,v1.1,85
Poetry Slam,Cultural,Science,1,100,Main Hall,11,5,17,"poetry, literature",11,2,2,1,evening,0,0.15675675675675677,v1.1,76
Advanced Excel Training,Academic,Management,3,70,Seminar Room,8,6,9,"excel, data analysis",23,3,2,1,morning,0,0.34684684684684686,v1.1,80
Squash Tournament,Sports,Mechanical,1,60,Open Ground,9,0,14,"squash, sports",17,2,2,0,afternoon,0,0.08468468468468468,v1.1,83
Time Management,Professional,Management,2,80,Seminar Room,10,1,10,"time management, productivity",15,2,2,0,morning,0,0.34684684684684686,v1.1,78
Network Security Seminar,Technology,Computer,3,100,Seminar Room,12,0,11,"network, security",24,3,2,0,morning,0,0.1918918918918919,v1.1,84
Rangoli Competition,Cultural,Management,1,150,Open Ground,10,1,10,"rangoli, art",19,2,2,0,morning,0,0.34684684684684686,v1.1,87
Linear Algebra Refresher,Academic,Science,2,65,Seminar Room,9,0,14,"algebra, maths",24,3,2,0,afternoon,0,0.15675675675675677,v1.1,71
Weightlifting Competition,Sports,Civil,1,80,Open Ground,11,6,10,"weightlifting, strength",25,2,2,1,morning,0,0.1045045045045045,v1.1,82
Conflict Resolution,Professional,Management,3,70,Seminar Room,8,3,14,"conflict, resolution",19,2,2,0,afternoon,0,0.34684684684684686,v1.1,76
Big Data Workshop,Technology,Computer,4,130,Virtual,9,5,9,"big data, hadoop",17,3,2,1,morning,1,0.1918918918918919,v1.1,89
Cultural Exchange Program,Cultural,Management,1,250,Auditorium,11,1,18,"culture, exchange",25,3,2,0,evening,0,0.34684684684684686,v1.1,90
Thermodynamics Basics,Academic,Mechanical,2,75,Seminar Room,7,5,10,"thermodynamics, engineering",21,2,2,1,morning,0,0.08468468468468468,v1.1,73
Tennis Tournament,Sports,Electrical,1,100,Open Ground,10,6,13,"tennis, sports",17,2,2,1,afternoon,0,0.0945945945945946,v1.1,88
Effective Communication,Professional,Management,1,100,Seminar Room,9,0,11,"communication, skills",23,2,2,0,morning,0,0.34684684684684686,v1.1,82
Devops Workshop,Technology,Computer,3,110,Seminar Room,11,2,10,"devops, automation",15,2,2,0,morning,1,0.1918918918918919,v1.1,87
Classical Dance Night,Cultural,Management,1,280,Auditorium,8,5,18,"classical dance, art",21,3,2,1,evening,0,0.34684684684684686,v1.1,91
Microbiology Basics,Academic,Science,1,55,Seminar Room,10,4,14,"microbiology, biology",19,2,2,0,afternoon,0,0.15675675675675677,v1.1,69
Marathon,Sports,Civil,1,300,Open Ground,12,5,7,"marathon, running",8,1,2,1,morning,0,0.1045045045045045,v1.1,95
Financial Planning,Professional,Management,4,90,Seminar Room,9,1,10,"finance, planning",18,2,2,0,morning,0,0.34684684684684686,v1.1,80
Ethical Ai Seminar,Technology,Computer,4,140,Virtual,10,4,15,"ai, ethics",18,3,2,0,afternoon,0,0.1918918918918919,v1.1,88
Street Play Festival,Cultural,Management,1,200,Open Ground,11,0,16,"street play, theatre",20,3,2,0,afternoon,0,0.34684684684684686,v1.1,79
Numerical Methods,Academic,Mechanical,3,80,Seminar Room,9,5,10,"numerical, maths",17,2,2,1,morning,0,0.08468468468468468,v1.1,74
Badminton Doubles,Sports,Electrical,1,90,Open Ground,8,2,14,"badminton, doubles",17,2,2,0,afternoon,0,0.0945945945945946,v1.1,86
Goal Setting Workshop,Professional,Science,2,65,Seminar Room,7,4,10,"goals, personal development",21,3,2,0,morning,1,0.15675675675675677,v1.1,75
Computer Vision Workshop,Technology,Computer,4,100,Virtual,12,3,9,"computer vision, image processing",24,3,2,0,morning,1,0.1918918918918919,v1.1,86
Fashion Designing Contest,Cultural,Management,2,180,Main Hall,9,5,15,"fashion, design",25,3,2,1,afternoon,0,0.34684684684684686,v1.1,80
Environmental Science Talk,Academic,Science,3,110,Seminar Room,11,0,11,"environment, sustainability",26,3,2,0,morning,0,0.15675675675675677,v1.1,77
Kho Kho Tournament,Sports,Civil,1,120,Open Ground,10,5,13,"kho kho, sports",18,3,2,1,afternoon,0,0.1045045045045045,v1.1,85
Mock Interview Drive,Professional,Computer,1,150,Virtual,8,2,9,"interview, mock",20,3,2,0,morning,0,0.1918918918918919,v1.1,89
Ar/Vr Development,Technology,Computer,3,90,Seminar Room,10,2,10,"ar, vr",17,2,2,0,morning,0,0.1918918918918919,v1.1,85
Singing Competition,Cultural,Management,1,250,Auditorium,9,3,17,"singing, music",19,2,2,0,evening,0,0.34684684684684686,v1.1,92
Analog Electronics,Academic,Electrical,2,70,Seminar Room,7,5,10,"electronics, circuits",18,2,2,1,morning,0,0.0945945945945946,v1.1,72
Skating Competition,Sports,Mechanical,1,70,Open Ground,11,1,14,"skating, sports",19,2,2,0,afternoon,0,0.08468468468468468,v1.1,81
Team Building Activities,Professional,Management,1,120,Open Ground,8,3,10,"team building, collaboration",24,3,2,0,morning,0,0.34684684684684686,v1.1,84
Data Structures Workshop,Technology,Computer,2,100,Seminar Room,9,1,9,"data structures, algorithms",24,3,2,0,morning,1,0.1918918918918919,v1.1,88
Annual Fest,Cultural,Management,1,400,Open Ground,12,2,17,"fest, celebration",11,2,2,0,evening,0,0.34684684684684686,v1.1,99
Applied Mathematics,Academic,Science,3,85,Seminar Room,10,2,14,"maths, applied",19,2,2,0,afternoon,0,0.15675675675675677,v1.1,75
Yoga Workshop,Sports,Science,1,60,Main Hall,7,2,8,"yoga, wellness",13,2,2,0,morning,1,0.15675675675675677,v1.1,73
Resume Review Session,Professional,Management,3,50,Virtual,11,4,11,"resume, career",21,3,2,0,morning,0,0.34684684684684686,v1.1,81
Quantum Machine Learning,Technology,Computer,4,100,Virtual,12,2,10,"quantum, ml",24,3,2,0,morning,0,0.1918918918918919,v1.1,82
Stand-Up Comedy Night,Cultural,Management,1,180,Auditorium,10,2,19,"comedy, entertainment",21,3,2,0,evening,0,0.34684684684684686,v1.1,86
Physics Quiz,Academic,Science,1,70,Seminar Room,9,2,11,"physics, quiz",12,2,2,0,morning,0,0.15675675675675677,v1.1,70
Cycling Rally,Sports,Civil,1,150,Open Ground,8,4,7,"cycling, rally",13,2,2,0,morning,0,0.1045045045045045,v1.1,85
Networking Mixer,Professional,Computer,1,200,Main Hall,11,3,17,"networking, career",16,2,2,0,evening,0,0.1918918918918919,v1.1,90
Cybersecurity Awareness,Technology,Computer,1,120,Virtual,9,2,10,"cybersecurity, awareness",23,2,2,0,morning,0,0.1918918918918919,v1.1,83
Open Mic Night,Cultural,Management,1,100,Auditorium,7,1,18,"open mic, performance",14,3,2,0,evening,0,0.34684684684684686,v1.1,80
Project Management,Academic,Management,4,90,Seminar Room,10,0,9,"project management, planning",18,2,2,0,morning,0,0.34684684684684686,v1.1,79
Tug Of War,Sports,Mechanical,1,100,Open Ground,11,3,15,"tug of war, sports",10,3,2,0,afternoon,0,0.08468468468468468,v1.1,84
Public Relations Workshop,Professional,Management,3,75,Seminar Room,8,6,10,"pr, communication",25,3,2,1,morning,1,0.34684684684684686,v1.1,77
Ai In Healthcare Seminar,Technology,Computer,4,130,Virtual,12,2,14,"ai, healthcare",24,4,2,0,afternoon,0,0.1918918918918919,v1.1,89
Cultural Parade,Cultural,Management,1,300,Open Ground,9,0,16,"parade, culture",15,2,2,0,afternoon,0,0.34684684684684686,v1.1,91
Circuit Design Workshop,Academic,Electrical,3,80,Seminar Room,8,4,9,"circuits, design",23,3,2,0,morning,1,0.0945945945945946,v1.1,75
Chess Exhibition,Sports,Science,1,60,Main Hall,10,3,13,"chess, exhibition",16,2,2,0,afternoon,0,0.15675675675675677,v1.1,80
Goal Setting For Success,Professional,Management,1,90,Seminar Room,9,4,10,"goals, success",24,4,2,0,morning,0,0.34684684684684686,v1.1,82
Web Security Webinar,Technology,Computer,3,110,Virtual,11,2,11,"web security, cyber",20,3,2,0,morning,0,0.1918918918918919,v1.1,85
Bollywood Dance Workshop,Cultural,Management,1,150,Main Hall,8,1,16,"bollywood, dance",24,3,2,0,afternoon,1,0.34684684684684686,v1.1,88
Data Visualization,Academic,Computer,4,95,Seminar Room,10,5,14,"data viz, analytics",18,2,2,1,afternoon,0,0.1918918918918919,v1.1,86
Cross Country Race,Sports,Civil,1,200,Open Ground,12,0,8,"cross country, running",18,3,2,0,morning,0,0.1045045045045045,v1.1,90
Job Interview Simulation,Professional,Management,1,80,Virtual,9,4,10,"interview, simulation",24,3,2,0,morning,0,0.34684684684684686,v1.1,84
Iot Security,Technology,Electrical,4,90,Seminar Room,10,5,9,"iot, security",12,2,2,1,morning,0,0.0945945945945946,v1.1,83
Cultural Fashion Show,Cultural,Management,1,280,Auditorium,11,3,19,"fashion, culture",21,3,2,0,evening,0,0.34684684684684686,v1.1,90
Thermodynamics Advanced,Academic,Mechanical,4,70,Seminar Room,9,6,11,"thermodynamics, engineering",23,2,2,1,morning,0,0.08468468468468468,v1.1,76
Cricket Friendly Match,Sports,Electrical,1,120,Open Ground,7,0,15,"cricket, friendly",22,3,2,0,afternoon,0,0.0945945945945946,v1.1,75
Stress Reduction Techniques,Professional,Science,1,100,Seminar Room,10,1,15,"stress, wellness",27,3,2,0,afternoon,0,0.15675675675675677,v1.1,79
Ar In Education,Technology,Computer,3,80,Virtual,11,5,10,"ar, education",15,3,2,1,morning,0,0.1918918918918919,v1.1,81
Storytelling Session,Cultural,Science,1,70,Seminar Room,12,0,16,"storytelling, literature",20,2,2,0,afternoon,0,0.15675675675675677,v1.1,70
Advanced Python,Academic,Computer,3,100,Seminar Room,9,4,9,"python, programming",15,2,2,0,morning,0,0.1918918918918919,v1.1,87
Volleyball Friendly,Sports,Electrical,1,80,Open Ground,8,6,14,"volleyball, friendly",19,2,2,1,afternoon,0,0.0945945945945946,v1.1,80
Effective Presentation Skills,Professional,Management,1,90,Seminar Room,9,4,11,"presentation, public speaking",29,3,2,0,morning,0,0.34684684684684686,v1.1,83
Blockchain For Beginners,Technology,Computer,2,100,Virtual,10,0,14,"blockchain, crypto",24,3,2,0,afternoon,0,0.1918918918918919,v1.1,82
Diwali Mela,Cultural,Management,1,350,Open Ground,10,2,15,"diwali, festival",11,2,2,0,afternoon,0,0.34684684684684686,v1.1,96
Linear Algebra Applications,Academic,Science,3,75,Seminar Room,9,2,10,"algebra, applications",27,3,2,0,morning,0,0.15675675675675677,v1.1,74
Football Friendly Match,Sports,Civil,1,150,Open Ground,11,3,14,"football, friendly",23,3,2,0,afternoon,0,0.1045045045045045,v1.1,87
Career Counseling,Professional,Management,1,100,Virtual,8,1,10,"career, counseling",17,2,2,0,morning,0,0.34684684684684686,v1.1,85
Data Science For Business,Technology,Computer,4,140,Main Hall,9,3,10,"data science, business",25,4,2,0,morning,0,0.1918918918918919,v1.1,90
Inter-College Fest,Cultural,Management,1,400,Auditorium,12,4,18,"fest, inter college",18,2,2,0,evening,0,0.34684684684684686,v1.1,99
Applied Physics,Academic,Science,2,60,Seminar Room,8,2,11,"physics, applied",15,2,2,0,morning,0,0.15675675675675677,v1.1,72
Badminton Doubles Tournament,Sports,Electrical,1,100,Open Ground,9,6,13,"badminton, doubles",28,3,2,1,afternoon,0,0.0945945945945946,v1.1,89
Negotiation Skills,Professional,Management,3,80,Seminar Room,10,2,9,"negotiation, communication",18,2,2,0,morning,0,0.34684684684684686,v1.1,78
Ai Ethics Debate,Technology,Computer,4,100,Virtual,12,1,10,"ai, ethics",16,3,2,0,morning,0,0.1918918918918919,v1.1,85
Cultural Street Food Festival,Cultural,Management,1,300,Open Ground,11,4,17,"food, festival",29,4,2,0,evening,0,0.34684684684684686,v1.1,93
Calculus Refresher,Academic,Science,1,70,Seminar Room,9,1,14,"calculus, math's",18,2,2,0,afternoon,0,0.15675675675675677,v1.1,71
Table Tennis Friendly,Sports,Mechanical,1,60,Main Hall,10,6,15,"table tennis, friendly",21,3,2,1,afternoon,0,0.08468468468468468,v1.1,80
Emotional Intelligence,Professional,Management,1,110,Seminar Room,7,4,10,"emotional intelligence, soft skills",22,2,2,0,morning,0,0.34684684684684686,v1.1,81
Quantum Cryptography,Technology,Computer,4,90,Virtual,11,2,11,"quantum, cryptography",20,2,2,0,morning,0,0.1918918918918919,v1.1,84
Music Jam Session,Cultural,Management,1,150,Open Ground,9,1,18,"music, jam",17,3,2,0,evening,0,0.34684684684684686,v1.1,85
Organic Chemistry Workshop,Academic,Science,2,55,Seminar Room,8,2,14,"chemistry, organic",26,3,2,0,afternoon,1,0.15675675675675677,v1.1,68
Basketball Friendly Match,Sports,Civil,1,120,Open Ground,11,3,15,"basketball, friendly",25,3,2,0,afternoon,0,0.1045045045045045,v1.1,88
Cv Writing Workshop,Professional,Management,1,70,Virtual,8,1,10,"cv writing, resume",19,3,2,0,morning,1,0.34684684684684686,v1.1,79
Blockchain In Supply Chain,Technology,Computer,4,100,Virtual,10,1,10,"blockchain, supply chain",26,4,2,0,morning,0,0.1918918918918919,v1.1,86
Traditional Music Night,Cultural,Management,1,200,Auditorium,11,5,18,"traditional music, folk",23,3,2,1,evening,0,0.34684684684684686,v1.1,89
Differential Equations,Academic,Science,3,80,Seminar Room,9,2,10,"differential equations, maths",22,2,2,0,morning,0,0.15675675675675677,v1.1,76
Athletics Training Camp,Sports,Civil,1,100,Open Ground,7,0,9,"athletics, training",23,3,2,0,morning,0,0.1045045045045045,v1.1,78
Mentorship Program Launch,Professional,Management,1,150,Main Hall,9,6,11,"mentorship, career",25,3,2,1,morning,0,0.34684684684684686,v1.1,87
Machine Learning For Beginners,Technology,Computer,2,120,Seminar Room,8,4,9,"ml, beginner",30,4,2,0,morning,0,0.1918918918918919,v1.1,87
Art Exhibition,Cultural,Management,1,200,Auditorium,10,6,16,"art, exhibition",14,2,2,1,afternoon,0,0.34684684684684686,v1.1,80
Aerodynamics Basics,Academic,Mechanical,3,70,Seminar Room,11,1,10,"aerodynamics, engineering",19,2,2,0,morning,0,0.08468468468468468,v1.1,74
Football Practice Session,Sports,Civil,1,100,Open Ground,7,6,16,"football, practice",25,3,2,1,afternoon,0,0.1045045045045045,v1.1,70
Interview Etiquette,Professional,Management,1,60,Virtual,12,2,14,"interview, etiquette",19,2,2,0,afternoon,0,0.34684684684684686,v1.1,80
Vr In Gaming,Technology,Computer,3,90,Virtual,12,5,10,"vr, gaming",12,3,2,1,morning,0,0.1918918918918919,v1.1,83
Cultural Storytelling,Cultural,Science,1,80,Seminar Room,9,6,15,"storytelling, culture",21,2,2,1,afternoon,0,0.15675675675675677,v1.1,75
Probability And Statistics,Academic,Science,2,75,Seminar Room,10,3,10,"probability, statistics",26,3,2,0,morning,0,0.15675675675675677,v1.1,73
Cricket Coaching,Sports,Electrical,1,80,Open Ground,8,5,15,"cricket, coaching",16,2,2,1,afternoon,0,0.0945945945945946,v1.1,70
Leadership Styles,Professional,Management,1,100,Seminar Room,11,6,11,"leadership, styles",17,2,2,1,morning,0,0.34684684684684686,v1.1,82
Image Processing Workshop,Technology,Computer,4,110,Virtual,10,6,9,"image processing, computer vision",25,3,2,1,morning,1,0.1918918918918919,v1.1,87
Literary Debate,Cultural,Science,1,90,Auditorium,11,5,10,"literature, debate",15,2,2,1,morning,0,0.15675675675675677,v1.1,77
Advanced Data Structures,Academic,Computer,3,90,Seminar Room,9,0,9,"data structures, algorithms",24,3,2,0,morning,0,0.1918918918918919,v1.1,89
Badminton Coaching,Sports,Electrical,1,70,Open Ground,7,6,16,"badminton, coaching",18,2,2,1,afternoon,0,0.0945945945945946,v1.1,68
Professional Communication,Professional,Management,1,120,Seminar Room,8,0,10,"communication, professional",26,2,2,0,morning,0,0.34684684684684686,v1.1,84
Robotics For Beginners,Technology,Mechanical,2,80,Seminar Room,9,6,10,"robotics, beginner",22,3,2,1,morning,0,0.08468468468468468,v1.1,82
Traditional Art Workshop,Cultural,Management,1,100,Main Hall,10,3,14,"art, traditional",24,3,2,0,afternoon,1,0.34684684684684686,v1.1,78
Biochemistry Basics,Academic,Science,1,60,Seminar Room,11,6,14,"biochemistry, biology",19,2,2,1,afternoon,0,0.15675675675675677,v1.1,70
Athletics Training,Sports,Civil,1,100,Open Ground,8,3,9,"athletics, training",18,2,2,0,morning,0,0.1045045045045045,v1.1,75
Job Search Strategies,Professional,Management,1,90,Virtual,9,0,11,"job search, career",21,3,2,0,morning,0,0.34684684684684686,v1.1,86
Cloud Security Seminar,Technology,Computer,4,120,Virtual,12,4,14,"cloud, security",22,3,2,0,afternoon,0,0.1918918918918919,v1.1,88
Annual Sports Day,Sports,All,1,350,Open Ground,12,3,9,"sports, annual",17,3,2,0,morning,0,0.007207207207207207,v1.1,95
Inter-Department Cultural,Cultural,Management,1,300,Auditorium,11,1,18,"culture, inter department",25,2,2,0,evening,0,0.34684684684684686,v1.1,92
Advanced Calculus,Academic,Science,2,70,Seminar Room,9,3,11,"calculus, advanced",17,2,2,0,morning,0,0.15675675675675677,v1.1,75
Basketball Coaching,Sports,Civil,1,90,Open Ground,7,4,15,"basketball, coaching",19,2,2,0,afternoon,0,0.1045045045045045,v1.1,72
Interview Skills For Tech,Professional,Computer,1,85,Virtual,10,3,10,"interview, tech",25,4,2,0,morning,0,0.1918918918918919,v1.1,87
Ar/Vr In Healthcare,Technology,Computer,4,100,Virtual,11,2,10,"ar, vr",19,3,2,0,morning,0,0.1918918918918919,v1.1,86
Poetry Writing Workshop,Cultural,Science,1,60,Seminar Room,12,1,15,"poetry, writing",23,3,2,0,afternoon,1,0.15675675675675677,v1.1,73
Advanced Networking,Academic,Computer,3,90,Seminar Room,10,0,9,"networking, advanced",19,2,2,0,morning,0,0.1918918918918919,v1.1,85
Tennis Coaching,Sports,Electrical,1,70,Open Ground,8,0,16,"tennis, coaching",15,2,2,0,afternoon,0,0.0945945945945946,v1.1,70
Career Development Plan,Professional,Management,1,100,Seminar Room,9,2,11,"career, development",23,3,2,0,morning,0,0.34684684684684686,v1.1,83
Deep Learning Bootcamp,Technology,Computer,4,150,Main Hall,9,1,9,"deep learning, ai",22,3,2,0,morning,0,0.1918918918918919,v1.1,92
Annual College Fair,Professional,All,1,300,Main Hall,11,0,10,"career, college fair",19,3,2,0,morning,0,0.007207207207207207,v1.1,94
